n	a	knppsmáli	kappsmáli	
n	u	mikln	miklu	
n	h	neyrnar	heyrnar	
n	u	rútnr	rútur	
ni	m	þeini	þeim	
ni	m	heininum	heiminum	
ni	m	sanikoniulag	samkomulag	
ní	m	höfuní	höfum	
nn	m	finnm	fimm	
nr	m	konrizt	komist	
nr	m	nenra	nema	
o	e	sjo	sje	
o	ð	eptirleiois	eptirleiðis	
o	n	fuodinum	fundinum	
o	ð	áour	áður	
o	e	íslonzkar	íslenzkar	
o	ö	bjorgun	björgun	
o	e	þoir	þeir	
o	e	voiti	veiti	
o'	ó	þjo'ðverja	þjóðverja	
ó	ö	lógfræðings	lögfræðings	
ó	é	fólaga	félaga	
ó	ð	falió	falið	
ó	é	sór	sér	
ó	é	sór	sér	
ó	é	róttar	réttar	
p	þ	alpingi	alþingi	
P	F	Próða	Fróða	
p	þ			
p	þ			
P	Þ	Pað	Það	
P	F	Pjölgar	Fjölgar	
p	g	pjaldkeri	gjaldkeri	
p	o	pg	og	
r	v	rar	var	
r	f	storu	stofu	
r	t	þrárt	þrátt	
ra	m			
ra	m	getura	getum	
ra	m	neraa	nema	
rh	m	surhir	sumir	
ri	n	prerit	prent	
ri	n	riú	nú	
rl	d	nefnrlu	nefndu	
rn	m	heirnila	heimila	
rn	m	nerna	nema	
rn	m	rnikla	mikla	
ro	m	kerour	kemur	
ro	m	sero	sem	
ro	m	sneroma	snemma	
ro	m	lögunuro	lögunum	
ro	m	heirour	heimur	
rr	n	stofurrni	stofunni	
rr	m	málurr	málum	
rrt	m	rrteiri	meiri	
rrt	m	hljórrtleikana	hljómleikana	
ru	m			
S	ð	nýbyrjaS	nýbyrjað	
S	ð	leiS	leið	
s	e	þsssi	þessi	
S	ð			
S	ð	ljósiS	ljósið	
S	ð	viS	við	
S	ð	öSru	öðru	
ss	æ	fssðingunni	fæðingunni	
t	r	fyrit	fyrir	
t	l	fteiri	fleiri	
t	í	stðastliðið	síðastliðið	
t	f	terða-	ferða-	
t	r	etu	eru	
t	i	innsigltð	innsiglið	
t	f	triði	friði	
t	r	batna	barna	
tf	ö	gtfmlu	gömlu	
th	m	frath	fram	
ti	ú	kntiið	knúið	
ti	u	öðrtim	öðrum 	
ti	n	vatisælu	vansælu	
tí	ú	Gntípverjum	Gnúpverjum	
tí	ú	tilbtíið	tilbúið	
tn	m	þeitn	þeim	
tn	m	tneð	með	
tt	u	ttm	um	
tt	u	ttpp	upp	
tu	m	tíðutu	tíðum	
u	n	manua	manna	
u	n	gefiun	gefinn	
u	n	eugin	engin	
u	a	lufhræddir	lafhræddir	
u	a	hufi	hafi	
u	a	niðurlug	niðurlag	
u	v	anduíg	andvíg	
u	n	Daua	Dana	
U	ll	AUs	Alls	
ui	m			
ui	m	sauitalinu	samtalinu	
ú	á	múlum	málum	
ú	ö	nú	nö	
v	r	geymiv	geymir	
v	r	stundiv	stundir	
v	r	ritgevðavkaflann	ritgerðarkaflann	
vv	u	vvpp	upp	
X	li	skóX	skóli	
y	v	þyí	því	
Y	V	Yér	Vér	
y	j	yjer	vjer	
ý	f	ýyrsta	fyrsta	
ý	f	þriýnað	þrifnað	
ö	ð	nokkuö	nokkuð	
ö	ð	aö	að	
ö	é	þör	þér	
ö	ó	mötmæli	mótmæli	
ö	ð	aö	að	
ö	ð	hvaöanæfa	hvaðanæfa	
ö	ð	hiö	hið	
ö	ð	meöal	meðal	
ö	ð	brúöur	brúður	
